ages,sample_no,sample_index,mean_infor,mean_logfreq
3-9,100,0,3.2893382308848564,6.284536212574412
3-9,100,1,3.2552098128994267,6.275661681560985
3-9,100,2,3.272207032580215,6.3113206238470845
3-9,100,3,3.2603964088185697,6.268526939338052
3-9,100,4,3.2562245629004867,6.260213750465072
3-9,100,5,3.24258881012524,6.278684617520778
3-9,100,6,3.2529264193148384,6.267292404990121
3-9,100,7,3.245955445917712,6.267613952616058
3-9,100,8,3.271223435311964,6.281177363045514
3-9,100,9,3.260076993330732,6.284374629603943
3-9,100,10,3.265810967420774,6.312116181520042
3-9,100,11,3.2572954865682835,6.278680192748182
3-9,100,12,3.2762674837019814,6.268865802858945
3-9,100,13,3.2407292286765648,6.2881462555547945
3-9,100,14,3.2389087518861066,6.271902822870579
3-9,100,15,3.2550183083843267,6.2503017463723625
3-9,100,16,3.27580527186019,6.291804321188819
3-9,100,17,3.274001879831349,6.2889532541547455
3-9,100,18,3.2644848492180545,6.3013773860796345
3-9,100,19,3.2653514346381907,6.27813686998135
3-9,100,20,3.269843911607216,6.271973887728172
3-9,100,21,3.2738246785087783,6.276644243083793
3-9,100,22,3.254392861126211,6.317909831539248
3-9,100,23,3.2687219683318607,6.27723648075724
3-9,100,24,3.2757262394883404,6.264681737424455
3-9,100,25,3.270590113879056,6.315898830955246
3-9,100,26,3.288355655206579,6.2896862273707885
3-9,100,27,3.292449193664068,6.275421207687868
3-9,100,28,3.2610397208905195,6.268686579298648
3-9,100,29,3.255833916667941,6.284790786888697
3-9,100,30,3.278658667905687,6.270009248493399
3-9,100,31,3.2398326740015646,6.279913881419311
3-9,100,32,3.266129990797785,6.279229449812521
3-9,100,33,3.263233628658341,6.268462380056007
3-9,100,34,3.2755203695082717,6.263241320538532
3-9,100,35,3.2836834397807357,6.304939960444027
3-9,100,36,3.2713238920898577,6.291600743267572
3-9,100,37,3.2589871218035977,6.276869022535831
3-9,100,38,3.2610727398738213,6.272799035978245
3-9,100,39,3.29090414946684,6.2976471342895
3-9,100,40,3.2491222859007944,6.27051504784543
3-9,100,41,3.2504584523484064,6.297243308657402
3-9,100,42,3.2576482475932997,6.269742864714749
3-9,100,43,3.2682035915075254,6.283257824287474
3-9,100,44,3.306559135563725,6.2897823154289485
3-9,100,45,3.2738311605590567,6.282455720078082
3-9,100,46,3.258949466356896,6.277375435804235
3-9,100,47,3.2578428163366566,6.2997587045646615
3-9,100,48,3.253083303797188,6.270936776535838
3-9,100,49,3.272685980239016,6.260061489653812
3-9,100,50,3.2584203503190325,6.281050826974299
3-9,100,51,3.2635760826792035,6.290447317892387
3-9,100,52,3.2863520968572364,6.293217468904161
3-9,100,53,3.2719400320611784,6.274743274164896
3-9,100,54,3.271616660148049,6.2820247753546266
3-9,100,55,3.271908712447471,6.29331890693822
3-9,100,56,3.252244480392781,6.285845607675877
3-9,100,57,3.26060179437806,6.283860012396777
3-9,100,58,3.280592086481876,6.285030540554393
3-9,100,59,3.261710904128004,6.282327313027522
3-9,100,60,3.253364442369937,6.283477228516957
3-9,100,61,3.284638528250548,6.29084209648106
3-9,100,62,3.2694109348326337,6.289960974674528
3-9,100,63,3.269044200751725,6.293211625589275
3-9,100,64,3.2878791264897003,6.281838016976221
3-9,100,65,3.274202359639042,6.271158305382367
3-9,100,66,3.272156271522432,6.289043875662981
3-9,100,67,3.283097490033387,6.294198808958734
3-9,100,68,3.2732852810750965,6.314977602972975
3-9,100,69,3.276241708614352,6.284058350396539
3-9,100,70,3.267447950566561,6.262471514997325
3-9,100,71,3.276556086640263,6.295569328798764
3-9,100,72,3.286175248664479,6.275745525159843
3-9,100,73,3.279282256820641,6.264301499607988
3-9,100,74,3.2507835346672094,6.278037774845108
3-9,100,75,3.27072772822139,6.304855810848523
3-9,100,76,3.2765298805240866,6.278920806199656
3-9,100,77,3.2874638344408567,6.273133779074435
3-9,100,78,3.2475462930566783,6.291533700255074
3-9,100,79,3.2655157950070133,6.271844786110881
3-9,100,80,3.2500045129776667,6.260424294401069
